"id_stone","label_stone","id_word","label_word","wkt","x","y"
30000050,"19. Colbinstown I (Ogham Stone Concept by the Ogham in 3D Project)",2,"AVI","POINT(-6.756389 53.031111)",-6.756389,53.031111
30000050,"19. Colbinstown I (Ogham Stone Concept by the Ogham in 3D Project)",11,"CATTU","POINT(-6.756389 53.031111)",-6.756389,53.031111
30000050,"19. Colbinstown I (Ogham Stone Concept by the Ogham in 3D Project)",22,"IVA","POINT(-6.756389 53.031111)",-6.756389,53.031111
30000050,"19. Colbinstown I (Ogham Stone Concept by the Ogham in 3D Project)",91,"IVACATTOS","POINT(-6.756389 53.031111)",-6.756389,53.031111
30000052,"191. Lugnagappul II (Ogham Stone Concept by the Ogham in 3D Project)",10,"CUNA","POINT(-10.124722 52.135833)",-10.124722,52.135833
30000052,"191. Lugnagappul II (Ogham Stone Concept by the Ogham in 3D Project)",90,"GAMICUNAS","POINT(-10.124722 52.135833)",-10.124722,52.135833
30000053,"192. Martramane (Ogham Stone Concept by the Ogham in 3D Project)",6,"MAQI","POINT(-10.023333 52.251944)",-10.023333,52.251944
30000053,"192. Martramane (Ogham Stone Concept by the Ogham in 3D Project)",21,"QENN","POINT(-10.023333 52.251944)",-10.023333,52.251944
30000054,"193. Maumanorig (Ogham Stone Concept by the Ogham in 3D Project)",1,"ANM","POINT(-10.359444 52.144722)",-10.359444,52.144722
30000055,"195. Rathmalode I (Ogham Stone Concept by the Ogham in 3D Project)",6,"MAQI","POINT(-9.990556 52.1725)",-9.990556,52.1725
30000055,"195. Rathmalode I (Ogham Stone Concept by the Ogham in 3D Project)",8,"MUCOI","POINT(-9.990556 52.1725)",-9.990556,52.1725
30000055,"195. Rathmalode I (Ogham Stone Concept by the Ogham in 3D Project)",22,"IVA","POINT(-9.990556 52.1725)",-9.990556,52.1725
30000055,"195. Rathmalode I (Ogham Stone Concept by the Ogham in 3D Project)",47,"CURCI","POINT(-9.990556 52.1725)",-9.990556,52.1725
30000056,"196. Rathmalode II (Ogham Stone Concept by the Ogham in 3D Project)",2,"AVI","POINT(-9.990556 52.1725)",-9.990556,52.1725
30000056,"196. Rathmalode II (Ogham Stone Concept by the Ogham in 3D Project)",6,"MAQI","POINT(-9.990556 52.1725)",-9.990556,52.1725
30000056,"196. Rathmalode II (Ogham Stone Concept by the Ogham in 3D Project)",18,"ERC","POINT(-9.990556 52.1725)",-9.990556,52.1725
30000056,"196. Rathmalode II (Ogham Stone Concept by the Ogham in 3D Project)",52,"ERC","POINT(-9.990556 52.1725)",-9.990556,52.1725
30000057,"197. Coolmagort I (Ogham Stone Concept by the Ogham in 3D Project)",6,"MAQI","POINT(-9.642778 52.061111)",-9.642778,52.061111
30000057,"197. Coolmagort I (Ogham Stone Concept by the Ogham in 3D Project)",8,"MUCOI","POINT(-9.642778 52.061111)",-9.642778,52.061111
30000057,"197. Coolmagort I (Ogham Stone Concept by the Ogham in 3D Project)",49,"DEGOS","POINT(-9.642778 52.061111)",-9.642778,52.061111
30000058,"198. Coolmagort II (Ogham Stone Concept by the Ogham in 3D Project)",6,"MAQI","POINT(-9.642778 52.061111)",-9.642778,52.061111
30000058,"198. Coolmagort II (Ogham Stone Concept by the Ogham in 3D Project)",8,"MUCOI","POINT(-9.642778 52.061111)",-9.642778,52.061111
30000059,"199. Coolmagort III (Ogham Stone Concept by the Ogham in 3D Project)",10,"CUNA","POINT(-9.642778 52.061111)",-9.642778,52.061111
30000060,"20. Colbinstown II (Ogham Stone Concept by the Ogham in 3D Project)",6,"MAQI","POINT(-6.756389 53.031111)",-6.756389,53.031111
30000061,"200. Coolmagort IV (Ogham Stone Concept by the Ogham in 3D Project)",6,"MAQI","POINT(-9.642778 52.061111)",-9.642778,52.061111
30000061,"200. Coolmagort IV (Ogham Stone Concept by the Ogham in 3D Project)",8,"MUCOI","POINT(-9.642778 52.061111)",-9.642778,52.061111
30000061,"200. Coolmagort IV (Ogham Stone Concept by the Ogham in 3D Project)",22,"IVA","POINT(-9.642778 52.061111)",-9.642778,52.061111
30000061,"200. Coolmagort IV (Ogham Stone Concept by the Ogham in 3D Project)",58,"VORGOS","POINT(-9.642778 52.061111)",-9.642778,52.061111
30000062,"201. Coolmagort V (Ogham Stone Concept by the Ogham in 3D Project)",6,"MAQI","POINT(-9.642778 52.061111)",-9.642778,52.061111
30000063,"202. Coolmagort VI (Ogham Stone Concept by the Ogham in 3D Project)",6,"MAQI","POINT(-9.642778 52.061111)",-9.642778,52.061111
30000064,"203. Coolmagort VII (Ogham Stone Concept by the Ogham in 3D Project)",6,"MAQI","POINT(-9.642778 52.061111)",-9.642778,52.061111
30000065,"205. Derrygariff (Ogham Stone Concept by the Ogham in 3D Project)",6,"MAQI","POINT(-9.665 51.974444)",-9.665,51.974444
30000066,"206. Kilcoolaght East I (Ogham Stone Concept by the Ogham in 3D Project)",1,"ANM","POINT(-9.747222 52.071944)",-9.747222,52.071944
30000066,"206. Kilcoolaght East I (Ogham Stone Concept by the Ogham in 3D Project)",6,"MAQI","POINT(-9.747222 52.071944)",-9.747222,52.071944
30000066,"206. Kilcoolaght East I (Ogham Stone Concept by the Ogham in 3D Project)",16,"VIR","POINT(-9.747222 52.071944)",-9.747222,52.071944
30000067,"207. Kilcoolaght East II (Ogham Stone Concept by the Ogham in 3D Project)",6,"MAQI","POINT(-9.747222 52.071944)",-9.747222,52.071944
30000067,"207. Kilcoolaght East II (Ogham Stone Concept by the Ogham in 3D Project)",17,"LUG","POINT(-9.747222 52.071944)",-9.747222,52.071944
30000069,"209. Kilcoolaght East IV (Ogham Stone Concept by the Ogham in 3D Project)",6,"MAQI","POINT(-9.747222 52.071944)",-9.747222,52.071944
30000071,"211. Kilcoolaght East VI (Ogham Stone Concept by the Ogham in 3D Project)",6,"MAQI","POINT(-9.747222 52.071944)",-9.747222,52.071944
30000071,"211. Kilcoolaght East VI (Ogham Stone Concept by the Ogham in 3D Project)",19,"RITTA","POINT(-9.747222 52.071944)",-9.747222,52.071944
30000074,"215. Whitefield I (Ogham Stone Concept by the Ogham in 3D Project)",3,"CELI","POINT(-9.703056 52.080556)",-9.703056,52.080556
30000074,"215. Whitefield I (Ogham Stone Concept by the Ogham in 3D Project)",38,"ALATTOS","POINT(-9.703056 52.080556)",-9.703056,52.080556
30000074,"215. Whitefield I (Ogham Stone Concept by the Ogham in 3D Project)",80,"BATTIGNI","POINT(-9.703056 52.080556)",-9.703056,52.080556
30000076,"217. Whitefield III (Ogham Stone Concept by the Ogham in 3D Project)",6,"MAQI","POINT(-9.703056 52.080556)",-9.703056,52.080556
30000076,"217. Whitefield III (Ogham Stone Concept by the Ogham in 3D Project)",8,"MUCOI","POINT(-9.703056 52.080556)",-9.703056,52.080556
30000076,"217. Whitefield III (Ogham Stone Concept by the Ogham in 3D Project)",11,"CATTU","POINT(-9.703056 52.080556)",-9.703056,52.080556
30000078,"22. Colbinstown IV (Ogham Stone Concept by the Ogham in 3D Project)",5,"KOI","POINT(-6.756389 53.031111)",-6.756389,53.031111
30000078,"22. Colbinstown IV (Ogham Stone Concept by the Ogham in 3D Project)",6,"MAQI","POINT(-6.756389 53.031111)",-6.756389,53.031111
30000078,"22. Colbinstown IV (Ogham Stone Concept by the Ogham in 3D Project)",8,"MUCOI","POINT(-6.756389 53.031111)",-6.756389,53.031111
