"ciic"|"latitude"|"longitude"|"altitude"|"geometry"|"macci"|"mac"|"lug"|"qen"|"avi"|"cuna"|"maq"|"maqi"|"alatto"|"alattos"|"qasign"|"ceran"|"acto"|"mucoi"|"cuno"|"medvvi"|"vraicci"|"catto"|"ivacattos"|"iva"|"cat"|"cattos"|"maqqi"|"koi"|"tren"|"netta"|"bran"|"drugno"|"vir"|"ver"|"dov"|"branogeni"|"ineqaglas"|"glas"|"covagni"|"bar"|"bari"|"iarni"|"dercmasoc"|"erc"|"neta"|"cari"|"anm"|"trenu"|"cattu"|"brusco"|"colomagni"|"dovalesci"|"giragni"|"viragni"|"coimagni"|"mocoi"|"moco"|"domngen"|"conann"|"cona"|"con"|"casoni"|"maci"|"brocc"|"bir"|"bait"|"cronun"|"erca"|"dommo"|"meddo"|"corbagni"|"corre"|"celi"|"cunas"|"cunagussos"|"dalagni"|"dali"|"dala"|"ttren"|"vergoso"|"dego"|"laddigni"|"laidann"|"corbbi"|"conas"|"glasiconas"|"curci"|"drogno"|"qeni"|"roddos"|"conu"|"brusccos"|"catu"|"brocann"|"gamicunas"|"degos"|"vorgos"|"battigni"|"cati"|"broci"|"gatteglan"|"mocu"|"baidagni"|"ritte"|"cattuvvirr"|"ivageni"|"ivo"|"daimagni"|"gosoctas"|"cunnetas"|"cata"|"catabar"|"moddagn"|"brocagni"|"magl"
57|"52.0811111"|"-8.601944444444444"||"Point"|||||||1|1||||||1|||||||||||1|||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
58|"52.0811111"|"-8.601944444444444"||"Point"|||||||1||||||||||||||1||||||||||||||||||||||||1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
59|"52.0102778"|"-8.453333333333333"||"Point"||||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
60|"52.0102778"|"-8.453333333333333"||"Point"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
61|"52.0086111"|"-8.360555555555555"||"Point"|||||||1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
62|"51.9808333"|"-8.452777777777778"||"Point"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
63|"51.9694444"|"-8.175555555555555"||"Point"|||||1||1|1|||||||||||||||||||||||1|||||||||||||||1|1|1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
64|"51.9694444"|"-8.175555555555555"||"Point"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
65|"52.0052778"|"-8.24611111111111"||"Point"|||||||1|1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
66|"51.7122222"|"-9.935277777777777"||"Point"|||||1||1|1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
