"PlcIndex","Easting","Northing"
"143",427280.797287772,5779274.20462864
"144",428204.939583037,5777468.47886874
"145",415591.810610533,5791511.64646091
"146",405464.75387955,5780476.30461354
"147",417365.842659777,5777358.91321701
"148-154",405218.866228587,5781531.76807849
"155-163",429487.004496169,5780725.61535466
"164-165",429440.774248464,5778810.40629225
"166",420736.835524072,5782464.65465474
"167-168",429039.503409521,5779990.36479296
"169",409479.800315998,5779721.52070931
"170",409176.143029785,5778707.2220851
"171",429605.669316253,5782392.5934033
"172",404168.66514409,5779295.85825125
"173",429085.484324927,5777888.4298323
"174",420736.835524072,5782464.65465474
"175",410531.241882882,5775839.43624313
"176-177",437809.403064795,5785342.01068083
"178",400137.180505991,5774492.20360528
"179",413087.798787246,5777370.13752602
"180",415945.077520263,5776548.37745961
"181",413040.584749802,5776845.60597017
"182",420736.835524072,5782464.65465474
"183",401563.776706713,5773505.67494643
"184",422897.895828893,5777300.82762956
"185",389738.030145857,5767201.42103548
"186",411023.405010624,5778890.08690531
"187",408871.584823126,5782823.0973971
"188-189",418222.643914864,5775119.73809752
"190-191",423022.337893815,5776742.66231137
"192",430143.61011675,5789554.08507557
"193",406976.799281483,5778006.23722148
"194-194A",429935.477520404,5780193.94426845
"195-196",432260.344719694,5780686.96479301
"197-203",455933.292870305,5768030.14730646
"204",457521.116891121,5784423.06208311
"205",454321.642207755,5758404.67065771
"206-213",448785.41530652,5769303.54908594
"214",450723.07497518,5768851.42990394
"215-218A",451821.82994467,5770231.08490728
"219",448638.541101669,5751291.63631785
"220",422571.014689625,5736393.01288062
"221",445852.359605516,5748107.63814951
"222",439742.265276991,5745674.61600642
"223",439742.265276991,5745674.61600642
"224",463809.170542056,5748409.27043007
"225",461999.365248284,5744220.81191673
"226",473188.071432351,5743252.60329999
"227",471531.675296275,5748143.18284606
"228",471438.183402922,5824150.94178438
"229",419768.30761812,5752907.05325763
"230",419013.076097064,5749921.79810006
"231-232",406072.738162152,5752156.43028304
"233",423292.567051197,5744724.97920828
"234",429397.055511783,5764998.39797121
"235",419123.961878132,5752052.18474351
"236-237",410310.948706222,5744414.86440639
"238",416047.542076047,5753215.29499937
"239",429636.377755599,5763048.29508386
"240",427260.460781062,5758323.69716015
"241",453845.272520214,5770829.85842706
"242-242A",461736.723855947,5769836.00735804
"243-246",456760.604229804,5775561.91586643
"246A-246B",449823.533792423,5779705.74538929
"247",454650.154641594,5777681.82143547
"248",469965.874231453,5776978.48368585
"249",452954.529131977,5779273.38174708
"250",447202.033023905,5779763.83932281
"251",463600.044865501,5782489.91723357
"252",460251.459469176,5786408.77632453
"253",463065.212868257,5787159.42600345
"254",463065.212868257,5787159.42600345
"255-256",448142.227683574,5775180.916048
"256A",451531.135641421,5791090.40873725
"257",511966.482523002,5811939.23195993
"258",542389.003049433,5803703.02161071
"259",529795.193600324,5797678.28317676
"260",561044.310859053,5792094.9101314
"261",584836.747931228,5786419.86040609
"262",568420.113601448,5783693.69003345
"263-265",587350.185063379,5755591.14183224
"266-268",578909.586959594,5768831.16251405
"269",585433.306076054,5760471.49069411
"270-271",606830.175359302,5777016.94486344
"272-281",604783.207809013,5780280.39931259
"282",602958.292661066,5779376.79927515
"283-284",603672.381825379,5783409.57207751
"285",599657.310395375,5774302.65139868
"286-290",599358.748491881,5772102.37367634
"291",581886.499792711,5773112.86414992
"292-299",595869.6971279,5774351.77485539
"300",596447.588330825,5779864.09479632
"301",585508.09082276,5791499.64505234
"302",621233.030730251,5783097.09013131
"303",610096.730063578,5796869.82317451
"304",609632.080963154,5799023.12238412
"305",610461.853021746,5798330.72441676
"306",601427.261902784,5798383.92049957
"307-308",603018.998341108,5800147.74033051
"309-310",681035.048625042,6076513.53536551
"311",652548.002844484,6020239.86948013
"312",634702.451990847,5963767.07555965
"313",617941.765701181,5962139.09220403
"314",572913.040236101,6051825.06532719
"315",596328.179650475,6024836.81922676
"316",643852.787266912,6110097.34300751
"317",625804.464552492,6063096.18409833
