"ID1" "ID2" "d12"
1 132 194.29
1 133 177.36
1 134 175.18
1 135 176.13
1 136 172.99
1 137 171.84
1 138 176.65
1 140 121.05
1 141 88.47
1 142 71.7
1 143 93.38
1 144 80.1
1 145 177.09
1 146 128.39
26 34 33.73
26 36 23.28
26 41 28.62
26 51 102.95
26 61 46.44
26 111 87.1
26 118 40.97
26 121 13.32
26 126 14.69
26 139 13.67
26 147 7.43
26 148 9.92
26 149 17.18
26 150 12.7
26 151 34.48
26 152 25.75
26 153 138.76
26 155 118.92
26 156 122.86
26 157 45.33
26 158 61.7
26 159 58.66
26 160 30.49
26 161 52.53
26 162 67.7
26 163 48.57
26 164 43.45
26 166 148.18
26 167 49.69
26 168 148.48
26 169 138.75
26 170 102.54
26 171 187.9
26 172 128.29
26 173 127.72
26 174 123.24
26 176 118.17
26 177 125.11
26 178 111.08
26 179 112.18
26 183 167.21
26 185 174.33
26 186 172.4
26 187 180.65
26 188 172.08
26 189 183.23
26 190 131.46
26 191 105.47
26 193 153.07
26 194 101.47
26 196 143.21
26 4 144.21
26 5 147.9
26 6 152.52
26 7 148.42
26 8 145.28
26 9 144.17
26 11 148.69
26 12 151.54
26 13 144.21
26 14 147.37
26 15 149.77
26 16 144.56
26 17 150.13
26 18 189.04
26 19 148.28
26 20 171.16
26 21 179.04
26 22 165.01
26 23 194.21
26 24 190.26
26 67 193.68
26 69 187.26
26 70 198.63
26 72 198.33
26 73 196.85
26 79 194.03
26 80 197.51
26 81 188.05
26 82 187.24
26 83 167.11
26 94 194.74
26 95 187.61
26 96 190.49
26 97 195.94
26 98 191.88
26 99 177.5
26 100 193.05
26 101 198.45
26 102 181.93
26 103 184.11
26 104 181.2
26 106 198.83
26 107 191.47
26 108 128.12
26 109 100.37
26 110 114.19
26 112 87.54
26 113 71.08
26 114 85.68
26 115 92.89
26 116 87.63
26 117 89.96
26 119 64.45
26 120 62.69
26 122 64.44
26 123 60.7
26 124 70.49
26 125 72.5
26 127 82.46
26 128 72.6
26 130 67.84
26 131 67.31
26 132 52.99
26 133 46.04
26 134 44.66
26 135 44.67
26 136 50.76
26 137 48.39
26 140 187.52
26 141 130.56
