"ID1" "ID2" "d12"
36 161 70016.33
36 162 46221.18
36 163 26982.55
36 164 21442.3
36 167 26977.34
36 113 94254.02
36 119 87282.14
36 120 85713.23
36 122 87506.27
36 123 83832.69
36 124 93553.67
36 125 95523.78
36 128 95764.18
36 130 91078.38
36 131 90369.33
36 132 74905.87
36 133 69273.39
36 134 67923.98
36 135 67914.94
36 136 73994.15
36 137 71622.13
41 51 74341.19
41 61 20463.11
41 111 59841.48
41 118 54639.69
41 121 35995.47
41 126 39493.78
41 139 42170.52
41 147 33150.1
41 148 37407.61
41 149 45120.05
41 150 40194.05
41 151 62133.17
41 152 53973.72
41 155 92519.22
41 156 99999.49
41 157 66482.84
41 158 81648
41 159 73287.52
41 160 36398.26
41 161 77174.04
41 162 45191.37
41 163 20182.2
41 164 14872.34
41 167 21111.74
41 113 98725.03
41 119 93061.08
41 120 91308.51
41 122 93046.4
41 123 89277.28
41 124 99099.59
41 130 96312.61
41 131 94637.33
41 132 81185.89
41 133 74539.4
41 134 73065.32
41 135 73137.07
41 136 78701.23
41 137 76325.81
51 61 59133.39
51 111 26972.09
51 153 51963.03
51 155 39029.24
51 156 64015.12
51 162 57132.91
51 163 54544.22
51 164 59498.9
51 166 65971.63
51 167 53433.91
51 141 68227.19
51 142 81438.95
61 111 40680.4
61 118 59837.5
61 121 49902.2
61 126 53855.88
61 139 60042.24
61 147 49017.1
61 148 56042.09
61 149 61146.97
61 150 56151.74
61 151 77036.85
61 152 69983.24
61 153 92460.36
61 155 72663.81
61 156 79580.51
61 157 86883.9
61 159 93470.3
61 160 56349
61 161 97177.18
61 162 48479.82
61 163 9432.48
61 164 11416.08
61 167 15305.59
61 132 99380.35
61 133 90688.57
61 134 88977.56
61 135 89218.38
61 136 93571.51
61 137 91236.22
61 141 87116.9
61 142 90121.32
111 118 94560.92
111 121 90033.05
111 126 94035.92
111 147 89587.07
111 148 96614.6
111 150 96679.02
111 153 52507.11
111 155 33174.14
111 156 48414.79
111 160 92557.01
111 162 61277.6
111 163 40123.8
111 164 45764.8
111 166 63734.78
111 167 41991.88
111 141 54771.76
111 142 63843.23
118 121 28006.75
118 126 28588.74
118 139 42551.22
118 147 34072.45
118 148 45322.86
118 149 34919.48
118 150 33990.4
118 151 36872.01
118 152 37702.86
118 157 78681.02
118 158 94410.81
118 159 96037.75
118 160 71447.18
118 161 79416.06
118 162 99826.59
118 163 67380.93
118 164 64806.94
118 167 71674.88
118 169 98644.33
118 170 62467.05
118 178 98484.23
118 179 97268.11
118 191 94816.52
118 194 89629.4
118 108 94209.27
118 109 71479.6
118 110 85213.32
118 112 66741.24
118 113 61951.52
118 114 70190.96
118 115 91819.54
118 116 80460.59
118 117 87274.97
118 119 69954.64
118 120 66518.04
118 122 67302.39
118 123 63317.3
118 124 72291.26
118 125 74491.79
118 127 75578.94
118 128 72336.81
118 130 66802.8
118 131 56860.54
118 132 67090.32
118 133 50826.02
118 134 48623.18
118 135 49476.81
118 136 48245.69
118 137 46573.98
121 126 4016.75
121 139 16648.33
121 147 6089.16
121 148 17800.22
121 149 12559.01
121 150 8454.56
121 151 27134.75
121 152 20697.55
121 157 53321.07
121 158 69619.41
121 159 69080.91
121 160 43701.57
121 161 57372.33
121 162 78747.64
121 163 54251.37
121 164 49866.42
121 167 56648.68
121 170 89226.63
121 191 97984.29
121 194 93591.89
121 109 88476.59
121 112 77158.33
121 113 63176.59
121 114 76523.72
121 115 88016.32
121 116 80780.59
121 117 84516.8
121 119 60888.34
121 120 58463.47
121 122 59961.43
121 123 55956.21
121 124 65906.88
121 125 68054.19
121 127 75565.72
121 128 67415.81
121 130 62226.38
121 131 58897.58
121 132 52144.1
121 133 41069.09
121 134 39253.59
121 135 39576.3
121 136 43688.13
121 137 41344.87
126 139 14347.04
126 147 7368.46
126 148 16757.87
126 149 8855.86
126 150 5651.54
126 151 23194.86
126 152 16708.9
126 157 51113.1
126 158 67280.48
126 159 67618.31
126 160 44284.22
126 161 54341.58
126 162 81550.89
126 163 58046.75
126 164 53568.55
126 167 60301.4
126 170 88618.22
126 178 99420.1
126 191 94195.67
126 194 89854.2
126 109 85909.29
126 110 99785.15
126 112 73953.99
126 113 59409.08
126 114 72996.2
126 115 84018.6
126 116 76906.41
126 117 80541.54
126 119 56875.63
126 120 54446.82
126 122 55946.63
126 123 51943.82
126 124 61895.1
126 125 64040.82
126 127 71692.14
126 128 63420.55
126 130 58246.09
126 131 55202.19
126 132 48289.26
126 133 37053.85
126 134 35244.12
126 135 35561.68
126 136 39782.36
126 137 37430.79
139 147 12799.63
139 148 5928.75
139 149 8578.47
139 150 8703.81
139 151 23564.33
139 152 14216.44
139 157 36791.1
139 158 53021.04
139 159 53486.95
139 160 34451.5
139 161 41042.9
139 162 78784.99
139 163 62202.37
139 164 57034.88
139 167 63150.81
139 178 98925.07
139 191 93084.86
139 194 89332.73
139 109 92394.76
139 112 77599.12
139 113 59228.4
139 114 74566
139 115 79540.93
139 116 75015.53
139 117 76785.16
139 119 50926.42
139 120 49317.27
139 122 51117.28
139 123 47479.54
139 124 57161.85
139 125 59127.29
139 127 69914.81
139 128 59427.41
139 130 54860.44
139 131 55878.24
139 132 39342.44
139 133 33116.6
139 134 31953.33
139 135 31825.29
139 136 38775.63
139 137 36465.02
147 148 12404.86
147 149 12182.12
147 150 7173.79
147 151 28983.17
147 152 21077.92
147 157 48557.06
147 158 64945.92
147 159 63574.99
147 160 37633.98
147 161 53800.88
147 162 74330.71
147 163 52372.35
147 164 47616.45
147 167 54188.38
147 170 95249.85
147 194 96067.37
147 109 93257.62
147 112 81004.8
147 113 65597.49
147 114 79664.17
147 115 88934.49
147 116 82686.19
147 117 85712.98
147 119 61063.3
147 120 58954.74
147 122 60585.35
147 123 56690.44
147 124 66612.4
147 125 68700.28
147 127 77485.76
147 128 68427.14
147 130 63437.73
147 131 61585.3
147 132 50969.7
147 133 41806.48
147 134 40195.99
147 135 40359.42
147 136 45559.7
147 137 43185.08
148 149 13611.57
148 150 11739.51
148 151 29469.45
148 152 20130.16
148 157 36281.46
148 158 52690.17
148 159 51289.15
148 160 29019.07
148 161 42670.68
148 162 72911.21
148 163 57566.57
148 164 52266.2
148 167 58176.21
148 191 98857.42
148 194 95158.72
148 109 98068.96
148 112 83493.89
148 113 65113.28
148 114 80492.2
148 115 84871.4
148 116 80738.74
148 117 82251.89
148 119 56097.21
148 120 54671.21
148 122 56514.26
148 123 52965.46
148 124 62538.8
148 125 64459.24
148 127 75660.73
148 128 64920.44
148 130 60465.56
148 131 61797.26
148 132 43778.47
148 133 38804.03
148 134 37722.47
148 135 37549.48
148 136 44666.01
148 137 42364.31
149 150 5008.95
149 151 17309.86
149 152 8901.37
149 157 43772.18
149 158 59637.46
149 159 61419.8
149 160 42628.15
149 161 45844.67
149 162 84691.35
149 163 64529.79
149 164 59714.72
149 167 66215.09
149 170 92018.44
149 178 93958.44
149 179 95009.5
149 191 88417.06
149 194 84351.54
149 109 84618.31
149 110 98285.24
149 112 70727.72
149 113 53930.01
149 114 68536.17
149 115 76752.42
149 116 70698.55
149 117 73544.92
149 119 48972.31
149 120 46796.52
149 122 48412.78
149 123 44509.79
149 124 54435.52
149 125 56528.67
149 127 65512.03
149 128 56248.85
149 130 51282.17
149 131 50139.46
149 132 39611.5
149 133 29624.66
149 134 28029.7
149 135 28179.54
149 136 33670.97
149 137 31296.82
150 151 22025.36
150 152 13904.82
150 157 45461.76
150 158 61638.57
150 159 62085.26
150 160 40258.88
150 161 48951.63
150 162 80401.02
150 163 59533.89
150 164 54742.99
150 167 61272.35
150 170 93109.83
150 178 98739.44
150 179 99685.19
150 191 93260.2
150 194 89136.68
150 109 88026.29
150 112 74851.37
150 113 58684.23
150 114 73045.98
150 115 81761.19
150 116 75608.86
150 117 78544.3
150 119 53945.93
150 120 51797.77
150 122 53419.36
150 123 49518.67
150 124 59443.51
150 125 61534.99
150 127 70415.11
150 128 61254.18
150 130 56274.46
150 131 54786.1
150 132 44250.36
150 133 34632.72
150 134 33027.31
150 135 33185.89
150 136 38523.49
150 137 36147.64
151 152 9352.01
151 157 48638.31
151 158 62381.93
151 159 68513.97
151 160 57482.86
151 161 45040.03
151 163 81141.6
151 164 76525.64
151 167 83152.22
151 170 83744.59
151 172 94320.14
151 173 93828.38
151 174 88854.96
151 176 83712.07
151 177 90663.48
151 178 76715.01
151 179 77701.63
151 190 97034.26
151 191 71274.17
151 194 67113.32
151 108 99443.25
151 109 69479.15
151 110 82805.56
151 112 54036.92
151 113 36659.05
151 114 51293.13
151 115 61025.84
151 116 53775.1
151 117 57414.92
151 119 34958.46
151 120 32085.46
151 122 33384.77
151 123 29304.44
151 124 39175.8
151 125 41366.01
151 127 48565.18
151 128 40428.27
151 130 35153.06
151 131 32831.22
151 132 30218.45
151 133 14862.45
151 134 12775.3
151 135 13377.07
151 136 16621.49
151 137 14256.84
152 157 42614.31
152 158 57512.69
152 159 61758.07
152 160 48241.84
152 161 41733.18
152 162 92721.62
152 163 73430.7
152 164 68602.97
152 167 75078.83
152 170 90214.14
152 174 97993.44
152 176 92761.93
152 177 99740.04
152 178 85367.39
152 179 86597.95
152 191 79725.87
152 194 75759.27
152 109 78576.79
152 110 91999.77
152 112 63388.73
152 113 45430.44
152 114 60465.9
152 115 67863.59
152 116 61907.04
152 117 64643.69
152 119 40252.81
152 120 37970.09
152 122 39556.38
152 123 35631.29
152 124 45567.35
152 125 47672.33
152 127 56734.12
152 128 47349.37
152 130 42384.7
152 131 41861.44
152 132 31923.71
152 133 20732.6
152 134 19129.69
152 135 19281.79
152 136 25033.61
152 137 22673.81
153 155 19864.84
153 156 34088.36
153 163 92627.03
153 164 98269.3
153 166 14292.28
153 167 94333.78
153 140 52755.22
153 141 31771.42
153 142 48579.25
153 144 89143.39
155 156 27365.83
155 162 91239.16
155 163 73149.41
155 164 78790.97
155 166 30626.21
155 167 75165.18
155 140 70829.01
155 141 29913.37
155 142 44973.87
155 144 99101.68
156 163 83174.76
156 164 88488.87
156 166 32953.95
156 167 86835.66
156 140 66650.94
156 141 7705.65
156 142 17692.13
156 144 78685.23
157 158 16410.25
157 159 20401.73
157 160 35084.88
157 161 15134.96
157 162 85755.77
157 163 85558.53
157 164 79915.14
157 167 84117.8
157 191 97652.35
157 194 95730.54
157 112 94558.29
157 113 70934.78
157 114 87515.5
157 115 77051.89
157 116 79929.1
157 117 76662.02
157 119 50833.29
157 120 52009.09
157 122 53986.81
157 123 52531.55
157 124 58483.39
157 125 59444.75
157 127 75936.7
157 128 62102.79
157 130 60257.74
157 131 70091.76
157 132 35344.7
157 133 45836.03
157 134 46602.94
157 135 45673.81
157 136 54626.64
157 137 53310.93
158 159 16976.27
158 160 47806.98
158 161 19128.36
158 162 95809.37
158 164 94478.09
158 167 98162.24
158 113 78863.73
158 114 94940.14
158 115 78659.21
158 116 84569.95
158 117 79363.44
158 119 56277.26
158 120 58429.69
158 122 60205.38
158 123 59805.1
158 124 63497.19
158 125 63918.17
158 127 81302.29
158 128 67280.34
158 130 66731.42
158 131 78985.9
158 132 42350.37
158 133 56695.73
158 134 57923.38
158 135 56892.14
158 136 65359.69
158 137 64478.32
159 160 37198.01
159 161 32041.4
159 162 81063.91
159 163 90129.82
159 164 84636.78
159 167 87406.76
159 113 90919.25
159 115 94179.37
159 116 98729.72
159 117 94439.35
159 119 69796.06
159 120 71386.96
159 122 73303.21
159 123 72220.63
159 124 77324.31
159 125 78039.3
159 127 95043.25
159 128 81045.59
159 130 79719.57
159 131 90296.32
159 132 54736.65
159 133 66226.75
159 134 67004.48
159 135 66075.21
159 136 75021.2
159 137 73712.44
160 161 49008.02
160 162 51467.3
160 163 52999.63
160 164 47471.63
160 167 50569.44
160 113 90933.35
160 119 76939.97
160 120 76640.75
160 122 78653.89
160 123 75816.77
160 124 84294.7
160 125 85856.51
160 127 99760.85
160 128 87342.68
160 130 83816.97
160 131 88309.84
160 132 61979.82
160 133 63625.71
160 134 63150.42
160 135 62675.78
160 136 70973.61
160 137 68854.75
161 163 96936.11
161 164 91330.55
161 167 96114.61
161 178 90833.15
161 179 94693.3
161 191 83963.51
161 194 82444.08
161 112 84153.18
161 113 59875.85
161 114 76099.47
161 115 62558.43
161 116 66702.08
161 117 62539.14
161 119 37864.86
161 120 39700.19
161 122 41552.23
161 123 40868.48
161 124 45329.14
161 125 46003.27
161 127 63095.18
161 128 49070.54
161 130 48043.21
161 131 59878.41
161 132 23328.39
161 133 37826.02
161 134 39186.17
161 135 38132.27
161 136 46390.97
161 137 45625.92
162 163 39120.57
162 164 38240.45
162 167 33190.15
163 164 5643.42
163 167 5940.38
163 133 94130.04
163 134 92559.35
163 135 92697.73
163 136 97762.9
163 137 95397.87
163 141 90505.73
163 142 95041.66
164 167 6964.33
164 132 96043.47
164 133 89247.29
164 134 87726.18
164 135 87830.21
164 136 93138.32
164 137 90766.92
164 141 95866.93
166 138 99221.65
166 140 40211.81
166 141 27675.27
166 142 42988.68
166 144 75220.05
166 146 88481.69
167 133 95649.99
167 134 94176.19
167 135 94248.65
167 136 99746.41
167 137 97372.28
167 141 94029.4
167 142 99324.97
168 169 20347.64
168 170 48040.01
168 23 90813.43
168 24 85871.62
168 69 98072.02
168 83 56124.45
168 102 97690.54
168 103 95195.32
168 104 93479.08
168 107 94614.09
168 108 64869.22
168 109 84992.04
168 110 84258.02
169 170 36226.01
169 172 90358.49
169 173 88917.92
169 174 99665.25
169 4 93030.93
169 5 99619.93
169 7 95442.02
169 8 96227.84
169 9 96620.82
169 11 99331.29
169 13 97938.5
169 14 97920.73
169 17 93427.21
169 19 86793.53
169 23 78689.25
169 24 73673.32
169 48 94379.08
169 63 96793.89
169 67 98244.65
169 69 83199.39
169 73 98301.64
169 83 43059.14
169 94 96776.61
169 95 94061.96
169 96 91223.23
169 97 91351.66
169 98 90449.35
169 99 84239
169 100 89989.05
169 101 92806.91
169 102 81878.65
169 103 80084.31
169 104 78023.98
169 106 96044.13
169 107 81138.83
169 108 44530.24
169 109 65859.59
169 110 64168.81
169 112 86880.71
169 114 98053.22
170 172 82434.12
170 173 81015.23
170 174 88214.33
170 176 88598.07
170 177 91489.11
170 178 94588.21
170 179 89824.16
170 190 94260.53
170 191 95318.65
170 194 90080.62
170 4 91149.02
170 5 97682.44
170 7 94721.92
170 8 94033.46
170 9 93886.29
170 11 97776.43
170 13 94920.73
170 14 96173.67
170 16 97618.58
170 17 93921.06
170 19 88205.91
170 24 99399.73
170 83 70883.47
170 99 99674.07
170 104 97553.68
170 108 46128.81
170 109 47116.76
170 110 53377.99
170 112 63107.95
170 113 79859.36
170 114 73762.35
170 116 91722.89
170 120 97465.94
170 122 96871.86
170 123 94450.33
170 124 98534.25
170 127 89379.95
170 128 96140.21
170 130 92203.74
170 131 76264.68
170 133 90498.38
170 134 88859.29
170 135 89936.84
170 136 82712.93
170 137 82870.23
171 172 60033.42
171 173 60807.26
171 174 64946.92
171 176 70554.14
171 177 63509.02
171 178 80721.83
171 179 77583.64
171 180 45073.75
171 181 49633.88
171 182 29588.58
171 183 30768.9
171 185 14137.85
171 186 23167.93
171 187 7360.82
171 188 28718.61
171 189 25494.4
171 190 57014.16
171 191 87520.64
171 193 37184.87
171 194 89633.32
171 196 48035.66
171 4 44889.97
171 5 40210.23
171 6 35746.7
171 7 40623.63
171 8 43180.65
171 9 44122.13
171 11 39517.94
171 12 36903.85
171 13 43892.16
171 14 40962.17
171 15 38437.64
171 16 43337.79
171 17 39953.84
171 18 30662.47
171 19 44443.27
171 20 17401.11
171 21 11268.47
171 22 25503.94
171 23 74283.81
171 24 76279.11
171 25 75561.32
171 27 73691.98
171 28 71528.98
171 29 69637.35
171 30 88413.69
171 31 89594.87
171 32 78029.27
171 33 90381.95
171 35 70907.91
171 37 69622.71
171 38 78551.71
171 39 70722.69
171 40 85836.9
171 42 85522.64
171 43 71993.97
171 44 90048.32
171 45 69260.89
171 47 82823.32
171 48 68748.57
171 49 91118.15
171 50 81531.28
171 52 78713.86
171 53 81275.73
171 55 89394.79
171 56 73595.23
171 57 97493.06
171 58 84093.3
171 59 88114.01
171 60 76028.91
171 62 73150.63
171 63 76880.44
171 64 86985.42
171 65 70215.89
171 66 68915.4
171 67 44068.92
171 69 57766.46
171 70 37560.68
171 71 49376.95
171 72 47803.6
171 73 48233.02
171 74 37495.49
171 75 58059.6
171 76 38394.33
171 77 43108.77
171 79 23780.3
171 80 22446.12
171 81 13893.18
171 82 18965.34
171 83 93197.58
171 84 64351.17
171 85 64137.9
171 86 77188.48
171 87 58658.43
171 88 61094.33
171 89 64680.59
171 90 71303.74
171 91 67967.48
171 92 59840.33
171 93 59589.79
171 94 47557.17
171 95 42745.86
171 96 50109.44
171 97 57188.6
171 98 52981.5
171 99 46773.79
171 100 55201.3
171 101 58680.6
171 102 53798.39
171 103 58600.16
171 104 58408.88
171 106 54400.64
171 107 66323.31
171 108 86511.6
171 109 95239.26
171 110 82662.26
172 173 1462.18
172 174 11905.37
172 176 17669.72
172 177 13978.07
172 178 31087.75
172 179 25222.91
172 182 85405.4
172 183 46516.45
172 185 47137.98
172 186 48850.9
172 187 52961.26
172 188 51213.43
172 189 61512.46
172 190 12932.31
172 191 37340.71
172 193 30130.37
172 194 36520.26
172 196 25526.81
172 4 16097.31
172 5 19826.34
172 6 24330.26
172 7 20197.54
172 8 16998.81
172 9 15941.54
172 11 20524.54
172 12 25976.84
172 13 16154.27
172 14 19131.87
172 15 23832.62
172 16 17332.23
172 17 22286.84
172 18 68837.43
172 19 22526.05
172 20 42967.01
172 21 50768.86
172 22 36816.3
172 23 85279.24
172 24 83541.25
172 29 99639.69
172 35 98706.92
172 37 98537.59
172 39 99064.48
172 43 98806.61
172 45 98800.85
172 48 91181.85
172 63 99525.9
172 65 98198.07
172 66 95950.05
172 67 71526.27
172 69 71684.79
172 70 73853.71
172 71 78673.61
172 72 76733.69
172 73 75650.59
172 74 80714.02
172 76 84158.23
172 77 90681.87
172 79 66798.42
172 80 69878.9
172 81 59931.56
172 82 59577.61
172 83 78833.5
172 88 98128.74
172 92 97982.38
172 94 73642.6
172 95 65729.97
172 96 71029.83
172 97 78411.64
172 98 73360.41
172 99 58086.07
172 100 75250.95
172 101 81015.87
172 102 65332.08
172 103 69503.39
172 104 66989.67
